001000;BIONAT-100                              ;QREAL     ;     731.8500;0000000000;LT;0000000000;    
001100;TOPMIX (1KG)                            ;QREAL     ;      54.3650;0000000000;KG;0000000000;    
001102;TOPMIX (FRASCO)                         ;QREAL     ;       0.0000;0000000000;FR;0000000000;    
001110;TOPMIX (10KG)                           ;QREAL     ;     917.4337;0000000000;CX;0000000050;    
001200;EL-02 (450 GR)                          ;QREAL     ;      42.2799;0000000000;PT;0000000000;    
001202;EL-02 (FRASCO)                          ;QREAL     ;       0.0000;0000000000;FR;0000000000;    
001250;BACGRAN (1KG)                           ;QREAL     ;      91.6618;0000000000;CX;0000000030;    
001260;BACGRAN (500GR)                         ;QREAL     ;      46.7699;0000000000;PT;0000000000;    
001300;SPECTRAN (1KG)                          ;QREAL     ;      46.3687;0000000000;KG;0000000000;    
001302;SPECTRAN (FRASCO)                       ;QREAL     ;       0.0000;0000000000;FR;0000000000;    
001310;SPECTRAN (10KG)                         ;QREAL     ;     668.8114;0000000042;CX;0000000080;    
001311;SPECTRAN (10KG) REPROCESSO              ;QREAL     ;     722.3830;0000000000;CX;0000000000;    
001332;CORSTAN (FRASCO)                        ;QREAL     ;       0.0000;0000000000;FR;0000000000;    
001400;ELANCELL (1KG)                          ;QREAL     ;      16.4000;0000000000;KG;0000000000;    
001420;ELANCELL (20KG)                         ;QREAL     ;     327.9300;0000000000;SC;0000000000;    
001421;ELANCELL (5KG)                          ;QREAL     ;      81.9824;0000000000;SC;0000000000;    
001450;VG50S QR (10KG)                         ;QREAL     ;    1366.5859;0000000068;CX;0000000000;    
001500;HJ GOLD (1KG)                           ;QREAL     ;      83.7575;0000000000;KG;0000000000;    
001502;HJ GOLD (FRASCO)                        ;QREAL     ;       0.0000;0000000000;FR;0000000000;    
001510;HJ GOLD (10KG)                          ;QREAL     ;    1732.3890;0000000187;CX;0000000120;    
001511;HJ GOLD (10KG) REPROCESSO               ;QREAL     ;    1034.6616;0000000000;CX;0000000000;    
001550;HJ EMULSAO 150                          ;QREAL     ;      39.3665;0000003955;KG;0000004000;    
001551;HJ EMULSAO 100                          ;QREAL     ;      26.9280;0000002328;KG;0000002000;    
001552;HJ EMULSAO 100 (REPROCESSO)             ;QREAL     ;      15.7573;0000000000;KG;0000000000;    
001553;HJ EMULSAO                              ;QREAL     ;       5.1924;0000000000;KG;0000000000;    
001554;HJ EMULSAO 150 (REPROCESSO)             ;QREAL     ;      29.0432;0000000000;KG;0000000000;    
001560;HJ LIQUIDO KG                           ;QRLIQUIDO ;      20.7488;0000000000;KG;0000000000;    
001561;HJ LIQUIDO                              ;QRLIQUIDO ;      28.4601;0000000000;LT;0000000000;    
001600;SACCHARAN (100GR)                       ;QREAL     ;      10.1197;0000000000;PT;0000000000;    
001601;SACCHARAN (1KG)                         ;QREAL     ;     100.8562;0000000000;CX;0000000000;    
001602;SACCHARAN (10KG)                        ;QREAL     ;     714.5501;0000000000;CX;0000000000;    
001700;DEFLOC-QR (10KG) NAO UTILIZAR           ;QREAL     ;     130.1300;0000000000;CX;0000000000;    
001701;DEFLOC-QR (1KG)  NAO UTILIZAR           ;QREAL     ;      13.0100;0000000000;CX;0000000000;    
001710;DEFLOC QR (10KG)                        ;QREAL     ;    1203.1138;0000000138;CX;0000000000;    
001711;DEFLOC QR (1KG)                         ;QREAL     ;     185.1891;0000000000;KG;0000000000;    
001800;VIP-QR (10KG)                           ;QREAL     ;    1431.6988;0000000000;CX;0000000000;    
001850;VIP-QR 50 (10KG)                        ;QREAL     ;     674.0021;0000000000;CX;0000000050;    
001851;VIP-QR 50 (1KG)                         ;QREAL     ;      87.3679;0000000000;CX;0000000000;    
001900;CHL-QR (10KG)                           ;QREAL     ;    1046.3454;0000000000;CX;0000000000;    
001990;FERMENTUM (1KG)                         ;QREAL     ;      77.8523;0000000000;CX;0000000005;    
002000;FERMENTUM (10KG)                        ;QREAL     ;     747.3340;0000000000;CX;0000000050;    
003074;CORSTAN 1KG                             ;ELANCO-   ;     105.0600;0000000000;UN;0000000000;    
003269;KAMORAN 10 KG                           ;ELANCO-   ;    1906.2397;0000000378;CX;0000000240;    
003274;CORSTAN 10 KG                           ;ELANCO-   ;    1894.7180;0000000192;CX;0000000120;    
003277;KAMORAN WP 10 KG                        ;ELANCO-   ;    1913.7176;0000000466;CX;0000000240;    
003969;KAMORAN KG                              ;ELANCO-   ;     190.0842;0000000000;KG;0000000000;    
003974;CORSTAN KG                              ;ELANCO-   ;     186.0832;0000000000;KG;0000000000;    
003977;KAMORAN WP KG                           ;ELANCO-   ;     182.6747;0000000000;KG;0000000000;    
004269;KAMORAN 10 KG EXPORTACAO                ;I.ACABADO ;     422.7185;0000000000;CX;0000000000;    
004274;CORSTAN 10 KG EXPORTACAO                ;I.ACABADO ;     865.3387;0000000000;CX;0000000000;    
004277;KAMORAN WP 10 KG EXPORTACAO             ;I.ACABADO ;    1199.1931;0000000000;CX;0000000000;    
004998;KAMORAN 10 KG EXPORTACAO MAO DE OBRA    ;I.ACABADO ;       0.0000;0000000000;UN;0000000000;    
004999;INDUSTRIALIZACAO DE MATERIA-PRIMA       ;I.ACABADO ;       0.0000;0000000000;UN;0000000000;    
005100;FILTERPOL                               ;FILTER    ;     164.5547;0000000026;CX;0000000000;    
005101;FILTERPOL KG                            ;FILTER    ;      14.7343;0000000000;KG;0000000000;    
008601;SPEC-01                                 ;INOVACAO  ;      42.9970;0000000000;GR;0000000000;    
008602;SPEC-02                                 ;INOVACAO  ;      43.7648;0000000000;GR;0000000000;    
008603;SPEC-03                                 ;INOVACAO  ;      38.2469;0000000000;GR;0000000000;    
008604;SPEC-04                                 ;INOVACAO  ;      44.5325;0000000000;GR;0000000000;    
008605;SPECTRAN EST                            ;INOVACAO  ;       0.0440;0000000000;GR;0000000000;    
008606;SPECTRAN NEO                            ;INOVACAO  ;       0.0210;0000000000;GR;0000000000;    
008700;HJ EMULSAO BASE                         ;INOVACAO  ;       0.0857;0000000000;GR;0000000000;    
008701;HJ EMULSAO BASE 20%                     ;INOVACAO  ;       0.1124;0000000000;GR;0000000000;    
008702;HJ EMULSAO BASE 30%                     ;INOVACAO  ;       0.1246;0000000000;GR;0000000000;    
008703;HJ EMULSAO BASE 40%                     ;INOVACAO  ;       0.1276;0000000000;GR;0000000000;    
008704;HJ EMULSAO BASE 50%                     ;INOVACAO  ;       0.1237;0000000000;GR;0000000000;    
008705;HJ KINAT 50                             ;INOVACAO  ;       0.1461;0000000000;GR;0000000000;    
008706;HJ KINAT 60                             ;INOVACAO  ;       0.1630;0000000000;GR;0000000000;    
008707;HJ DEFLOC 70                            ;INOVACAO  ;       0.1726;0000000000;GR;0000000000;    
