1	1000	BIONAT-100                              	QREAL     	731.85	0.0000	LT	0	QREAL     		S	N
2	1100	TOPMIX (1KG)                            	QREAL     	54.37	0.0000	KG	0	QREAL     		S	N
3	1102	TOPMIX (FRASCO)                         	QREAL     	0.00	0.0000	FR	0	QREAL     		S	N
4	1110	TOPMIX (10KG)                           	QREAL     	917.43	0.0000	CX	50	QREAL     		S	N
5	1200	EL-02 (450 GR)                          	QREAL     	42.28	0.0000	PT	0	QREAL     		S	N
6	1202	EL-02 (FRASCO)                          	QREAL     	0.00	0.0000	FR	0	QREAL     		S	N
7	1250	BACGRAN (1KG)                           	QREAL     	91.66	0.0000	CX	30	QREAL     		S	N
8	1260	BACGRAN (500GR)                         	QREAL     	46.77	0.0000	PT	0	QREAL     		S	N
9	1300	SPECTRAN (1KG)                          	QREAL     	46.37	0.0000	KG	0	QREAL     		S	N
10	1302	SPECTRAN (FRASCO)                       	QREAL     	0.00	0.0000	FR	0	QREAL     		S	N
11	1310	SPECTRAN (10KG)                         	QREAL     	994.50	44.0000	CX	30	QREAL     		S	N
12	1311	SPECTRAN (10KG) REPROCESSO              	QREAL     	722.38	0.0000	CX	0	QREAL     		S	N
13	1332	CORSTAN (FRASCO)                        	QREAL     	0.00	0.0000	FR	0	QREAL     		S	N
14	1400	ELANCELL (1KG)                          	QREAL     	16.40	0.0000	KG	0	QREAL     		S	N
15	1420	ELANCELL (20KG)                         	QREAL     	327.93	0.0000	SC	0	QREAL     		S	N
16	1421	ELANCELL (5KG)                          	QREAL     	81.98	0.0000	SC	0	QREAL     		S	N
17	1450	VG50S QR (10KG)                         	QREAL     	1330.30	224.0000	CX	30	QREAL     		S	N
18	1500	HJ GOLD (1KG)                           	QREAL     	83.76	0.0000	KG	0	QREAL     		S	N
19	1502	HJ GOLD (FRASCO)                        	QREAL     	0.00	0.0000	FR	0	QREAL     		S	N
20	1510	HJ GOLD (10KG)                          	QREAL     	2223.15	374.0000	CX	360	QREAL     		S	N
21	1511	HJ GOLD (10KG) REPROCESSO               	QREAL     	1034.66	0.0000	CX	0	QREAL     		S	N
22	1520	HJ QR 100                               	QREAL     	2377.76	29.0000	CX	30	QREAL     		S	N
23	1550	HJ EMULSAO 150                          	QREAL     	46.33	6800.0000	KG	6000	QREAL     		S	N
24	1551	HJ EMULSAO 100                          	QREAL     	31.88	4200.0000	KG	6000	QREAL     		S	N
25	1552	HJ EMULSAO 100 (REPROCESSO)             	QREAL     	15.76	0.0000	KG	0	QREAL     		S	N
26	1553	HJ EMULSAO                              	QREAL     	5.19	0.0000	KG	0	QREAL     		S	N
27	1554	HJ EMULSAO 150 (REPROCESSO)             	QREAL     	29.04	0.0000	KG	0	QREAL     		S	N
28	1560	HJ LIQUIDO KG                           	QRLIQUIDO 	20.75	0.0000	KG	0	QRLIQUIDO 		S	N
29	1561	HJ LIQUIDO                              	QRLIQUIDO 	28.46	0.0000	LT	0	QRLIQUIDO 		S	N
