despesas;00;0000;0000000.00;
01;02;2022;0003947.01;
03;02;2022;0000799.00;
05;02;2022;0094054.59;
10;02;2022;0082683.17;
13;02;2022;0166463.50;
14;02;2022;0066039.66;
15;02;2022;0000018.46;
22;02;2022;0000329.00;
24;02;2022;0008575.30;
27;02;2022;0002146.04;
28;02;2022;0002930.87;
33;02;2022;0017824.10;
36;02;2022;0000784.20;
37;02;2022;0000359.52;
42;02;2022;0002628.02;
43;02;2022;0001600.00;
44;02;2022;0006774.48;
49;02;2022;0154766.46;
51;02;2022;0001363.32;
52;02;2022;0000907.84;
60;02;2022;0000430.68;
61;02;2022;0003706.41;
62;02;2022;0000877.57;
63;02;2022;0000256.44;
65;02;2022;0000030.32;
70;02;2022;0111040.34;
75;02;2022;0006956.66;
78;02;2022;0002448.58;
90;02;2022;5721240.83;
91;02;2022;0034046.28;
94;02;2022;0003842.31;
96;02;2022;0023078.36;
